workerId,sentID,category,pair,seconds,durCat,eventCat,event,article
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,76,filler,84,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,21,LVC,23,600.0,medium,utterance,thanking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,62,filler,70,86400.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,13,LVC,17,10.0,short,contact,poking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,12,BV,16,2700.0,short,contact,cuddling,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,57,filler,65,356400.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,32,BV,28,900.0,medium,utterance,addressing,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,24,BV,24,2700.0,medium,utterance,lecturing,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,35,LVC,31,600.0,long,kindness,advising,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,65,filler,73,180.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,67,filler,75,240.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,71,filler,79,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,1,LVC,11,60.0,short,contact,kissing,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,49,LVC,37,356400.0,long,kindness,supporting,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,73,filler,81,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,75,filler,83,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,28,BV,26,1800.0,medium,utterance,speaking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,9,LVC,15,60.0,short,contact,embracing,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,66,filler,74,300.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,29,LVC,27,1800.0,medium,utterance,presenting,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,58,filler,66,3600.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,4,BV,12,30.0,short,contact,kicking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,39,LVC,33,300.0,long,kindness,assuring,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,43,LVC,35,356400.0,long,kindness,condoling,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,59,filler,67,1200.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,69,filler,77,36000.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,52,BV,38,300.0,long,kindness,respecting,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,78,filler,86,172800.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,53,filler,61,1800.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,38,BV,32,7200.0,long,kindness,assisting,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,74,filler,82,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,17,LVC,21,5400.0,medium,utterance,sermoning,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,60,filler,68,15.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,20,BV,22,0,medium,utterance,scolding,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,63,filler,71,6300.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,56,filler,64,356400.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,70,filler,78,356400.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,16,BV,18,60.0,short,contact,shaking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,54,filler,62,60.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,68,filler,76,4500.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,5,LVC,13,35.0,short,contact,hugging,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,25,LVC,25,5100.0,medium,utterance,talking,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,55,filler,63,15.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,79,filler,87,5400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,64,filler,72,1800.0,medium,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,8,BV,14,5.0,short,contact,punching,no
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,42,BV,34,356400.0,long,kindness,encouraging,yes
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,61,filler,69,7200.0,short,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,77,filler,85,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,72,filler,80,356400.0,long,filler,filler,filler
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,48,BV,36,86400.0,long,kindness,recognizing,yes
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,76,filler,84,86400.0,long,filler,filler,filler
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,21,LVC,23,600.0,medium,utterance,thanking,no
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,62,filler,70,172800.0,medium,filler,filler,filler
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,13,LVC,17,1.0,short,contact,poking,no
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,12,BV,16,5.0,short,contact,cuddling,no
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,57,filler,65,356400.0,short,filler,filler,filler
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,32,BV,28,1500.0,medium,utterance,addressing,no
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,24,BV,24,2100.0,medium,utterance,lecturing,no
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,35,LVC,31,300.0,long,kindness,advising,yes
2cfd01846323d0b6a4d1a1ccb2b6ce9f915d1ad34aea9e5fa36b0c4e,65,filler,73,180.0,medium,filler,filler,filler
