workerId,sentId,event,eventCat,construction,english,time
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,59,filler,filler,filler,yes,1200.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,69,filler,filler,filler,yes,21600.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,9,embracing,PC,LVC,yes,120.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,54,filler,filler,filler,yes,60.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,53,filler,filler,filler,yes,10800.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,70,filler,filler,filler,yes,18000.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,62,filler,filler,filler,yes,43200.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,67,filler,filler,filler,yes,40.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,55,filler,filler,filler,yes,50.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,71,filler,filler,filler,yes,14400000.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,57,filler,filler,filler,yes,1800000000.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,58,filler,filler,filler,yes,3600.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,6,hugging,PC,BV,yes,10.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,72,filler,filler,filler,yes,180000000.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,16,shaking,PC,BV,yes,40.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,68,filler,filler,filler,yes,3600.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,56,filler,filler,filler,yes,30.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,61,filler,filler,filler,yes,3600.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,60,filler,filler,filler,yes,10.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,65,filler,filler,filler,yes,28800.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,3,kicking,PC,LVC,yes,10.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,2,kissing,PC,BV,yes,40.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,66,filler,filler,filler,yes,50.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,64,filler,filler,filler,yes,1800.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,13,poking,PC,LVC,yes,5.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,12,cuddling,PC,BV,yes,10.0
00e38b574f74e077e729cdb37f9dfd840507d47711e8e45a7784b416,63,filler,filler,filler,yes,7200.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,59,filler,filler,filler,yes,925.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,69,filler,filler,filler,yes,19520.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,9,embracing,PC,LVC,yes,10.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,54,filler,filler,filler,yes,5.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,53,filler,filler,filler,yes,1215.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,70,filler,filler,filler,yes,9015.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,62,filler,filler,filler,yes,27045.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,67,filler,filler,filler,yes,90.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,55,filler,filler,filler,yes,2.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,71,filler,filler,filler,yes,630720000.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,57,filler,filler,filler,yes,31536000.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,58,filler,filler,filler,yes,5400.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,6,hugging,PC,BV,yes,10.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,72,filler,filler,filler,yes,45000000.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,16,shaking,PC,BV,yes,20.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,68,filler,filler,filler,yes,4800.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,56,filler,filler,filler,yes,216000.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,61,filler,filler,filler,yes,605.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,60,filler,filler,filler,yes,1.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,65,filler,filler,filler,yes,200.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,3,kicking,PC,LVC,yes,2.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,2,kissing,PC,BV,yes,5.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,66,filler,filler,filler,yes,150.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,64,filler,filler,filler,yes,1500.0
a2acbe03294f4b123602947e791880c5cf64c1767af0934617667821,13,poking,PC,LVC,yes,1.0
