workerId,category,pair,count,eventCat,event
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,18,1.0,kindness,assuring
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,38,6.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,22,20.0,kindness,recognizing
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,26,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,31,3.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,12,1.0,utterance,speaking
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,1,1.0,contact,kissing
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,38,5.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,33,40.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,23,3.0,kindness,supporting
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,21,2.0,kindness,helping
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,14,1.0,utterance,addressing
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,30,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,3,1.0,contact,hugging
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,2,5.0,contact,kicking
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,17,1.0,kindness,assisting
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,28,25.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,33,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,16,1.0,kindness,approving
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,25,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,7,1.0,contact,shaking
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,LVC,19,4.0,kindness,encouraging
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,34,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,BV,6,2.0,contact,poking
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,36,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,27,1.0,filler,filler
263a3f074cb8105afa63cfb699bb0b40643e90197a0903cb7b52cd66,filler,25,1.0,filler,filler
