workerId,list,category,pair,how many,eventCat,event
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,18,1,kindness,assuring
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,38,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,22,1,kindness,recognizing
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,26,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,31,20,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,12,1,utterance,speaking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,1,1,contact,kissing
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,38,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,33,40,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,23,1,kindness,supporting
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,21,1,kindness,helping
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,14,1,utterance,addressing
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,30,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,3,1,contact,hugging
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,2,3,contact,kicking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,17,1,kindness,assisting
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,28,2,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,33,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,16,1,kindness,approving
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,25,2,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,7,20,contact,shaking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,19,5,kindness,encouraging
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,34,12,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,6,1,contact,poking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,36,2,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,27,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,25,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,39,30,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,32,5,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,29,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,31,60,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,28,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,10,1,utterance,lecturing
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,13,1,utterance,presenting
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,5,1,contact,cuddling
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,36,12,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,32,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,4,1,contact,embracing
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,30,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,9,1,utterance,thanking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,29,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,15,1,kindness,advising
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,26,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,LVC,11,1,utterance,talking
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,34,15,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,20,150,kindness,condoling
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,39,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,35,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,37,12,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,8,1,utterance,scolding
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,35,15,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,27,1,filler,filler
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,1,BV,24,1,kindness,respecting
855c94322adc9f6eac1fa72f95fe8a1673c9075e59a2c379a4127308,3,filler,37,2,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,18,5,kindness,assuring
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,38,3,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,22,2,kindness,recognizing
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,26,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,31,25,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,12,3,utterance,speaking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,1,1,contact,kissing
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,38,29,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,33,14,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,23,88,kindness,supporting
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,21,5,kindness,helping
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,14,1000,utterance,addressing
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,30,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,3,3,contact,hugging
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,2,7,contact,kicking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,17,50,kindness,assisting
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,28,3,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,33,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,16,1,kindness,approving
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,25,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,7,7,contact,shaking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,19,29,kindness,encouraging
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,34,15,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,6,3,contact,poking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,36,2,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,27,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,25,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,39,3,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,32,14,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,29,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,31,50,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,28,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,10,3,utterance,lecturing
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,13,1,utterance,presenting
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,5,3,contact,cuddling
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,36,200,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,32,5,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,4,1,contact,embracing
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,30,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,9,30,utterance,thanking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,29,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,15,8,kindness,advising
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,26,3,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,LVC,11,1,utterance,talking
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,34,1000,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,20,500,kindness,condoling
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,39,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,35,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,37,15,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,8,7,utterance,scolding
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,35,7,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,27,1,filler,filler
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,1,BV,24,3,kindness,respecting
db9654ff5a26448b35b477ceff94ef9600ff7ecca14a59261261f8a8,3,filler,37,2,filler,filler
e5838a286dffc135eaea05aae0e7168de988af9820f218e463c3f264,1,BV,18,1,kindness,assuring
