workerId,list,pair,similarity,event,eventCat,events
ASOUA,2,1,1,thanking,utterance,thanking -- giving thanks
ASOUA,2,1,3,kissing,contact,kissing -- giving a kiss
ASOUA,2,2,3,kicking,contact,kicking -- giving a kick
ASOUA,2,3,1,scolding,utterance,scolding -- giving a scolding
ASOUA,2,3,1,hugging,contact,hugging -- giving a hug
ASOUA,2,4,5,lecturing,utterance,lecturing -- giving a lecture
ASOUA,2,4,1,embracing,contact,embracing -- giving an embrace
ASOUA,2,5,4,cuddling,contact,cuddling -- giving a cuddle
ASOUA,2,6,1,poking,contact,poking -- giving a poke
ASOUA,2,7,5,shaking,contact,shaking -- giving a shake
ASOUA,2,42,1,advising,kindness,advising -- giving advice
ASOUA,2,44,2,approving,kindness,approving -- giving approval
ASOUA,2,46,3,assisting,kindness,assisting -- giving assistance
ASOUA,2,48,6,assuring,kindness,assuring -- giving assurance
ASOUA,2,50,2,encouraging,kindness,encouraging -- giving encouragement
ASOUA,2,52,1,condoling,kindness,condoling -- giving condolences
ASOUA,2,53,4,addressing,utterance,addressing -- giving an address
ASOUA,2,54,1,helping,kindness,helping -- giving help
ASOUA,2,56,1,recognizing,kindness,recognizing -- giving recognition
ASOUA,2,58,1,supporting,kindness,supporting -- giving support
ASOUA,3,filler,1,filler,filler,napping -- taking a nap
ASOUA,3,filler,7,filler,filler,chasing -- searching
ASOUA,3,filler,6,filler,filler,going -- traveling
ASOUA,3,filler,4,filler,filler,studying -- working
ASOUA,3,filler,7,filler,filler,learning -- teaching
ASOUA,3,filler,3,filler,filler,dozing -- snoozing
ASOUA,3,filler,3,filler,filler,detesting -- disliking
ASOUA,3,filler,0,filler,filler,watching a movie -- going out
ASOUA,3,filler,5,filler,filler,writing -- typing
ASOUA,3,filler,1,filler,filler,being sick -- being ill
ASOUA,3,filler,3,filler,filler,brooding -- sulking
ASOUA,3,filler,6,filler,filler,blinking -- winking
ASOUA,3,filler,6,filler,filler,delivering -- sending
ASOUA,3,filler,7,filler,filler,working -- being lazy
ASOUA,3,filler,7,filler,filler,emailing -- sending
ASOUA,3,filler,3,filler,filler,tripping -- falling
ASOUA,3,filler,5,filler,filler,driving -- riding a bike
ASOUA,3,filler,1,filler,filler,showering -- taking a shower
ASOUA,3,filler,3,filler,filler,jumping -- hopping
ASOUA,3,filler,4,filler,filler,seeing -- experiencing
ASOUA,3,filler,3,filler,filler,growing -- ageing
ASOUA,3,filler,1,filler,filler,repairing -- fixing
ASOUA,2,8,3,speaking,utterance,speaking -- giving a speech
ASOUA,2,9,6,talking,utterance,talking -- giving a talk
ASOUA,2,10,2,presenting,utterance,presenting -- giving a presentation
BDUSU,2,1,1,thanking,utterance,thanking -- giving thanks
BDUSU,2,1,1,kissing,contact,kissing -- giving a kiss
BDUSU,2,2,1,kicking,contact,kicking -- giving a kick
BDUSU,2,3,1,scolding,utterance,scolding -- giving a scolding
BDUSU,2,3,1,hugging,contact,hugging -- giving a hug
BDUSU,2,4,1,lecturing,utterance,lecturing -- giving a lecture
BDUSU,2,4,1,embracing,contact,embracing -- giving an embrace
BDUSU,2,5,1,cuddling,contact,cuddling -- giving a cuddle
BDUSU,2,6,1,poking,contact,poking -- giving a poke
BDUSU,2,7,3,shaking,contact,shaking -- giving a shake
BDUSU,2,42,1,advising,kindness,advising -- giving advice
BDUSU,2,44,1,approving,kindness,approving -- giving approval
BDUSU,2,46,1,assisting,kindness,assisting -- giving assistance
BDUSU,2,48,1,assuring,kindness,assuring -- giving assurance
BDUSU,2,50,1,encouraging,kindness,encouraging -- giving encouragement
BDUSU,2,52,1,condoling,kindness,condoling -- giving condolences
BDUSU,2,53,1,addressing,utterance,addressing -- giving an address
BDUSU,2,54,1,helping,kindness,helping -- giving help
BDUSU,2,56,2,recognizing,kindness,recognizing -- giving recognition
BDUSU,2,58,1,supporting,kindness,supporting -- giving support
BDUSU,3,filler,1,filler,filler,napping -- taking a nap
BDUSU,3,filler,4,filler,filler,chasing -- searching
BDUSU,3,filler,2,filler,filler,going -- traveling
BDUSU,3,filler,4,filler,filler,studying -- working
BDUSU,3,filler,7,filler,filler,learning -- teaching
BDUSU,3,filler,1,filler,filler,dozing -- snoozing
BDUSU,3,filler,1,filler,filler,detesting -- disliking
BDUSU,3,filler,6,filler,filler,watching a movie -- going out
BDUSU,3,filler,3,filler,filler,writing -- typing
BDUSU,3,filler,1,filler,filler,being sick -- being ill
BDUSU,3,filler,1,filler,filler,brooding -- sulking
BDUSU,3,filler,2,filler,filler,blinking -- winking
BDUSU,3,filler,1,filler,filler,delivering -- sending
BDUSU,3,filler,7,filler,filler,working -- being lazy
BDUSU,3,filler,2,filler,filler,emailing -- sending
BDUSU,3,filler,3,filler,filler,tripping -- falling
BDUSU,3,filler,6,filler,filler,driving -- riding a bike
BDUSU,3,filler,2,filler,filler,showering -- taking a shower
BDUSU,3,filler,1,filler,filler,jumping -- hopping
BDUSU,3,filler,3,filler,filler,seeing -- experiencing
BDUSU,3,filler,3,filler,filler,growing -- ageing
BDUSU,3,filler,1,filler,filler,repairing -- fixing
BDUSU,2,8,1,speaking,utterance,speaking -- giving a speech
BDUSU,2,9,3,talking,utterance,talking -- giving a talk
BDUSU,2,10,1,presenting,utterance,presenting -- giving a presentation
SNAOF,2,1,1,thanking,utterance,thanking -- giving thanks
SNAOF,2,1,1,kissing,contact,kissing -- giving a kiss
SNAOF,2,2,1,kicking,contact,kicking -- giving a kick
SNAOF,2,3,1,scolding,utterance,scolding -- giving a scolding
SNAOF,2,3,1,hugging,contact,hugging -- giving a hug
SNAOF,2,4,1,lecturing,utterance,lecturing -- giving a lecture
SNAOF,2,4,1,embracing,contact,embracing -- giving an embrace
SNAOF,2,5,1,cuddling,contact,cuddling -- giving a cuddle
SNAOF,2,6,1,poking,contact,poking -- giving a poke
SNAOF,2,7,1,shaking,contact,shaking -- giving a shake
SNAOF,2,42,1,advising,kindness,advising -- giving advice
SNAOF,2,44,1,approving,kindness,approving -- giving approval
SNAOF,2,46,1,assisting,kindness,assisting -- giving assistance
SNAOF,2,48,1,assuring,kindness,assuring -- giving assurance
SNAOF,2,50,1,encouraging,kindness,encouraging -- giving encouragement
SNAOF,2,52,1,condoling,kindness,condoling -- giving condolences
SNAOF,2,53,1,addressing,utterance,addressing -- giving an address
SNAOF,2,54,1,helping,kindness,helping -- giving help
SNAOF,2,56,1,recognizing,kindness,recognizing -- giving recognition
SNAOF,2,58,1,supporting,kindness,supporting -- giving support
SNAOF,3,filler,1,filler,filler,napping -- taking a nap
SNAOF,3,filler,6,filler,filler,chasing -- searching
SNAOF,3,filler,2,filler,filler,going -- traveling
SNAOF,3,filler,4,filler,filler,studying -- working
SNAOF,3,filler,7,filler,filler,learning -- teaching
SNAOF,3,filler,2,filler,filler,dozing -- snoozing
SNAOF,3,filler,1,filler,filler,detesting -- disliking
SNAOF,3,filler,6,filler,filler,watching a movie -- going out
SNAOF,3,filler,4,filler,filler,writing -- typing
SNAOF,3,filler,1,filler,filler,being sick -- being ill
SNAOF,3,filler,2,filler,filler,brooding -- sulking
SNAOF,3,filler,4,filler,filler,blinking -- winking
SNAOF,3,filler,7,filler,filler,delivering -- sending
SNAOF,3,filler,7,filler,filler,working -- being lazy
SNAOF,3,filler,2,filler,filler,emailing -- sending
SNAOF,3,filler,2,filler,filler,tripping -- falling
SNAOF,3,filler,5,filler,filler,driving -- riding a bike
SNAOF,3,filler,1,filler,filler,showering -- taking a shower
SNAOF,3,filler,3,filler,filler,jumping -- hopping
SNAOF,3,filler,4,filler,filler,seeing -- experiencing
SNAOF,3,filler,2,filler,filler,growing -- ageing
SNAOF,3,filler,1,filler,filler,repairing -- fixing
SNAOF,2,8,4,speaking,utterance,speaking -- giving a speech
SNAOF,2,9,3,talking,utterance,talking -- giving a talk
SNAOF,2,10,1,presenting,utterance,presenting -- giving a presentation
ASFYIN,2,1,1,thanking,utterance,thanking -- giving thanks
ASFYIN,2,1,1,kissing,contact,kissing -- giving a kiss
ASFYIN,2,2,2,kicking,contact,kicking -- giving a kick
ASFYIN,2,3,2,scolding,utterance,scolding -- giving a scolding
ASFYIN,2,3,1,hugging,contact,hugging -- giving a hug
ASFYIN,2,4,1,lecturing,utterance,lecturing -- giving a lecture
ASFYIN,2,4,1,embracing,contact,embracing -- giving an embrace
ASFYIN,2,5,1,cuddling,contact,cuddling -- giving a cuddle
ASFYIN,2,6,1,poking,contact,poking -- giving a poke
ASFYIN,2,7,1,shaking,contact,shaking -- giving a shake
ASFYIN,2,42,1,advising,kindness,advising -- giving advice
ASFYIN,2,44,1,approving,kindness,approving -- giving approval
ASFYIN,2,46,1,assisting,kindness,assisting -- giving assistance
ASFYIN,2,48,1,assuring,kindness,assuring -- giving assurance
ASFYIN,2,50,1,encouraging,kindness,encouraging -- giving encouragement
ASFYIN,2,52,1,condoling,kindness,condoling -- giving condolences
ASFYIN,2,53,1,addressing,utterance,addressing -- giving an address
ASFYIN,2,54,1,helping,kindness,helping -- giving help
ASFYIN,2,56,1,recognizing,kindness,recognizing -- giving recognition
ASFYIN,2,58,1,supporting,kindness,supporting -- giving support
ASFYIN,3,filler,1,filler,filler,napping -- taking a nap
ASFYIN,3,filler,3,filler,filler,chasing -- searching
ASFYIN,3,filler,3,filler,filler,going -- traveling
ASFYIN,3,filler,4,filler,filler,studying -- working
ASFYIN,3,filler,6,filler,filler,learning -- teaching
ASFYIN,3,filler,2,filler,filler,dozing -- snoozing
ASFYIN,3,filler,2,filler,filler,detesting -- disliking
ASFYIN,3,filler,3,filler,filler,watching a movie -- going out
ASFYIN,3,filler,3,filler,filler,writing -- typing
ASFYIN,3,filler,2,filler,filler,being sick -- being ill
ASFYIN,3,filler,2,filler,filler,brooding -- sulking
ASFYIN,3,filler,4,filler,filler,blinking -- winking
ASFYIN,3,filler,6,filler,filler,delivering -- sending
ASFYIN,3,filler,7,filler,filler,working -- being lazy
ASFYIN,3,filler,3,filler,filler,emailing -- sending
ASFYIN,3,filler,2,filler,filler,tripping -- falling
ASFYIN,3,filler,4,filler,filler,driving -- riding a bike
ASFYIN,3,filler,1,filler,filler,showering -- taking a shower
ASFYIN,3,filler,2,filler,filler,jumping -- hopping
ASFYIN,3,filler,3,filler,filler,seeing -- experiencing
ASFYIN,3,filler,3,filler,filler,growing -- ageing
ASFYIN,3,filler,2,filler,filler,repairing -- fixing
ASFYIN,2,8,3,speaking,utterance,speaking -- giving a speech
ASFYIN,2,9,1,talking,utterance,talking -- giving a talk
ASFYIN,2,10,1,presenting,utterance,presenting -- giving a presentation
GUGDS,2,1,1,thanking,utterance,thanking -- giving thanks
GUGDS,2,1,1,kissing,contact,kissing -- giving a kiss
GUGDS,2,2,1,kicking,contact,kicking -- giving a kick
GUGDS,2,3,1,scolding,utterance,scolding -- giving a scolding
GUGDS,2,3,1,hugging,contact,hugging -- giving a hug
GUGDS,2,4,1,lecturing,utterance,lecturing -- giving a lecture
GUGDS,2,4,1,embracing,contact,embracing -- giving an embrace
GUGDS,2,5,1,cuddling,contact,cuddling -- giving a cuddle
GUGDS,2,6,1,poking,contact,poking -- giving a poke
GUGDS,2,7,1,shaking,contact,shaking -- giving a shake
GUGDS,2,42,1,advising,kindness,advising -- giving advice
GUGDS,2,44,3,approving,kindness,approving -- giving approval
GUGDS,2,46,1,assisting,kindness,assisting -- giving assistance
GUGDS,2,48,1,assuring,kindness,assuring -- giving assurance
GUGDS,2,50,1,encouraging,kindness,encouraging -- giving encouragement
GUGDS,2,52,1,condoling,kindness,condoling -- giving condolences
GUGDS,2,53,1,addressing,utterance,addressing -- giving an address
GUGDS,2,54,1,helping,kindness,helping -- giving help
GUGDS,2,56,1,recognizing,kindness,recognizing -- giving recognition
GUGDS,2,58,1,supporting,kindness,supporting -- giving support
GUGDS,3,filler,1,filler,filler,napping -- taking a nap
GUGDS,3,filler,4,filler,filler,chasing -- searching
GUGDS,3,filler,3,filler,filler,going -- traveling
GUGDS,3,filler,3,filler,filler,studying -- working
GUGDS,3,filler,4,filler,filler,learning -- teaching
GUGDS,3,filler,2,filler,filler,dozing -- snoozing
GUGDS,3,filler,1,filler,filler,detesting -- disliking
GUGDS,3,filler,4,filler,filler,watching a movie -- going out
GUGDS,3,filler,4,filler,filler,writing -- typing
GUGDS,3,filler,1,filler,filler,being sick -- being ill
GUGDS,3,filler,2,filler,filler,brooding -- sulking
